bill_number,chamber,status,success,motion_text,vote_location,vote_date,vote_result,vote_threshold,yes_count,no_count,other_count,total_votes,vote_threshold_num,vote_margin
AB 33,Assembly,Ordered to inactive file at the request of Senator Gonzalez.,Failed,AB 33 Aguiar-Curry Assembly Third Reading,Assembly,2025-05-29T18:07:11+00:00,pass,1/2,57,7,15,79.0,41.0,16.0
AB 33,Assembly,Ordered to inactive file at the request of Senator Gonzalez.,Failed,"Do pass, but first be re-referred to the Committee on [Judiciary]",Senate,2025-06-24T07:00:00+00:00,pass,1/2,10,3,2,15.0,21.0,-11.0
AB 33,Assembly,Ordered to inactive file at the request of Senator Gonzalez.,Failed,Placed on suspense file,Senate,2025-07-14T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 33,Assembly,Ordered to inactive file at the request of Senator Gonzalez.,Failed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,5,2,0,7.0,21.0,-16.0
AB 392,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-01T07:00:00+00:00,pass,1/2,14,0,1,15.0,41.0,-27.0
AB 392,Assembly,In committee: Held under submission.,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,12,0,0,12.0,41.0,-29.0
AB 392,Assembly,In committee: Held under submission.,Failed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,14,0,1,15.0,41.0,-27.0
AB 392,Assembly,In committee: Held under submission.,Failed,AB 392 Dixon Assembly Third Reading,Assembly,2025-06-05T23:27:50+00:00,pass,1/2,78,0,1,79.0,41.0,37.0
AB 392,Assembly,In committee: Held under submission.,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Public Safety]",Senate,2025-07-08T07:00:00+00:00,pass,1/2,13,0,0,13.0,21.0,-8.0
AB 392,Assembly,In committee: Held under submission.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 410,Assembly,In committee: Held under submission.,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-01T07:00:00+00:00,pass,1/2,12,1,2,15.0,41.0,-29.0
AB 410,Assembly,In committee: Held under submission.,Failed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,14,0,1,15.0,41.0,-27.0
AB 410,Assembly,In committee: Held under submission.,Failed,AB 410 Wilson Assembly Third Reading,Assembly,2025-06-03T18:11:04+00:00,pass,1/2,77,2,0,79.0,41.0,36.0
AB 410,Assembly,In committee: Held under submission.,Failed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,13,0,0,13.0,21.0,-8.0
AB 410,Assembly,In committee: Held under submission.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 412,Assembly,"In committee: Set, first hearing. Hearing canceled at the request of author.",Failed,Do pass as amended and be re-referred to the Committee on [Judiciary],Assembly,2025-03-18T07:00:00+00:00,pass,1/2,10,3,2,15.0,41.0,-31.0
AB 412,Assembly,"In committee: Set, first hearing. Hearing canceled at the request of author.",Failed,Do pass as amended.,Assembly,2025-05-06T07:00:00+00:00,pass,1/2,9,1,2,12.0,41.0,-32.0
AB 412,Assembly,"In committee: Set, first hearing. Hearing canceled at the request of author.",Failed,AB 412 Bauer-Kahan Assembly Third Reading,Assembly,2025-05-12T22:24:13+00:00,pass,1/2,45,16,18,79.0,41.0,4.0
AB 446,Assembly,Ordered to inactive file at the request of Senator McNerney.,Failed,Do pass as amended and be re-referred to the Committee on [Judiciary],Assembly,2025-03-18T07:00:00+00:00,pass,1/2,10,3,2,15.0,41.0,-31.0
AB 446,Assembly,Ordered to inactive file at the request of Senator McNerney.,Failed,Do pass.,Assembly,2025-05-06T07:00:00+00:00,pass,1/2,8,3,1,12.0,41.0,-33.0
AB 446,Assembly,Ordered to inactive file at the request of Senator McNerney.,Failed,AB 446 Ward Assembly Third Reading,Assembly,2025-05-12T22:22:43+00:00,pass,1/2,47,20,12,79.0,41.0,6.0
AB 446,Assembly,Ordered to inactive file at the request of Senator McNerney.,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,10,2,1,13.0,21.0,-11.0
AB 446,Assembly,Ordered to inactive file at the request of Senator McNerney.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 446,Assembly,Ordered to inactive file at the request of Senator McNerney.,Failed,Do pass as amended,Senate,2025-08-29T07:00:00+00:00,pass,1/2,4,2,1,7.0,21.0,-17.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,10,2,3,15.0,41.0,-31.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,1/2,9,2,1,12.0,41.0,-32.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,2,2,15.0,41.0,-30.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,AB 45 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-04T01:18:02+00:00,pass,1/2,63,11,5,79.0,41.0,22.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,11,1,1,13.0,21.0,-10.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,5,2,0,7.0,21.0,-16.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,3rd Reading AB45 Bauer-Kahan et al. By Menjivar,Senate,2025-09-12T07:00:00+00:00,pass,1/2,29,9,2,40.0,21.0,8.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,AB 45 Bauer-Kahan Concurrence in Senate Amendments,Assembly,2025-09-13T09:05:07+00:00,pass,1/2,61,12,7,80.0,41.0,20.0
AB 489,Assembly,"Chaptered by Secretary of State - Chapter 615, Statutes of 2025.",Signed,Do pass and be re-referred to the Committee on [Privacy and Consumer Protection],Assembly,2025-04-01T07:00:00+00:00,pass,1/2,17,0,1,18.0,41.0,-24.0
AB 489,Assembly,"Chaptered by Secretary of State - Chapter 615, Statutes of 2025.",Signed,Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar,Assembly,2025-04-22T07:00:00+00:00,pass,1/2,14,0,1,15.0,41.0,-27.0
AB 489,Assembly,"Chaptered by Secretary of State - Chapter 615, Statutes of 2025.",Signed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,14,0,1,15.0,41.0,-27.0
AB 489,Assembly,"Chaptered by Secretary of State - Chapter 615, Statutes of 2025.",Signed,AB 489 Bonta Assembly Third Reading,Assembly,2025-06-02T21:40:43+00:00,pass,1/2,79,0,0,79.0,41.0,38.0
AB 489,Assembly,"Chaptered by Secretary of State - Chapter 615, Statutes of 2025.",Signed,"Do pass, but first be re-referred to the Committee on [Judiciary]",Senate,2025-06-23T07:00:00+00:00,pass,1/2,10,0,1,11.0,21.0,-11.0
AB 489,Assembly,"Chaptered by Secretary of State - Chapter 615, Statutes of 2025.",Signed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,13,0,0,13.0,21.0,-8.0
AB 489,Assembly,"Chaptered by Secretary of State - Chapter 615, Statutes of 2025.",Signed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 489,Assembly,"Chaptered by Secretary of State - Chapter 615, Statutes of 2025.",Signed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 489,Assembly,"Chaptered by Secretary of State - Chapter 615, Statutes of 2025.",Signed,Special Consent AB489 Bonta et al. By Weber Pierson,Senate,2025-09-04T07:00:00+00:00,pass,1/2,39,0,1,40.0,21.0,18.0
AB 489,Assembly,"Chaptered by Secretary of State - Chapter 615, Statutes of 2025.",Signed,AB 489 Bonta Concurrence in Senate Amendments,Assembly,2025-09-08T23:41:52+00:00,pass,1/2,79,0,1,80.0,41.0,38.0
AB 502,Assembly,Read second time. Ordered to third reading.,Failed,Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar,Assembly,2025-03-26T07:00:00+00:00,pass,1/2,7,0,0,7.0,41.0,-34.0
AB 502,Assembly,Read second time. Ordered to third reading.,Failed,Do pass. To Consent Calendar.,Assembly,2025-04-09T07:00:00+00:00,pass,1/2,14,0,1,15.0,41.0,-27.0
AB 502,Assembly,Read second time. Ordered to third reading.,Failed,AB 502 Pellerin Consent Calendar Second Day,Assembly,2025-04-24T17:11:15+00:00,pass,1/2,75,0,4,79.0,41.0,34.0
AB 502,Assembly,Read second time. Ordered to third reading.,Failed,"Do pass, but first be re-referred to the Committee on [Rules]",Senate,2025-07-01T07:00:00+00:00,pass,1/2,4,0,1,5.0,21.0,-17.0
AB 502,Assembly,Read second time. Ordered to third reading.,Failed,Do pass,Senate,2025-07-15T07:00:00+00:00,pass,1/2,11,2,0,13.0,21.0,-10.0
AB 512,Assembly,Vetoed by Governor.,Vetoed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,13,0,3,16.0,41.0,-28.0
AB 512,Assembly,Vetoed by Governor.,Vetoed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,12,0,3,15.0,41.0,-29.0
AB 512,Assembly,Vetoed by Governor.,Vetoed,AB 512 Harabedian Assembly Third Reading,Assembly,2025-06-02T21:43:39+00:00,pass,1/2,68,1,10,79.0,41.0,27.0
AB 512,Assembly,Vetoed by Governor.,Vetoed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-09T07:00:00+00:00,pass,1/2,9,0,2,11.0,21.0,-12.0
AB 512,Assembly,Vetoed by Governor.,Vetoed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 512,Assembly,Vetoed by Governor.,Vetoed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,5,0,2,7.0,21.0,-16.0
AB 512,Assembly,Vetoed by Governor.,Vetoed,3rd Reading AB512 Harabedian et al. By Becker,Senate,2025-09-09T07:00:00+00:00,pass,1/2,30,0,10,40.0,21.0,9.0
AB 512,Assembly,Vetoed by Governor.,Vetoed,AB 512 Harabedian Concurrence in Senate Amendments,Assembly,2025-09-11T02:29:47+00:00,pass,1/2,67,2,11,80.0,41.0,26.0
AB 56,Assembly,"Chaptered by Secretary of State - Chapter 671, Statutes of 2025.",Signed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,11,1,3,15.0,41.0,-30.0
AB 56,Assembly,"Chaptered by Secretary of State - Chapter 671, Statutes of 2025.",Signed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,1/2,10,1,1,12.0,41.0,-31.0
AB 56,Assembly,"Chaptered by Secretary of State - Chapter 671, Statutes of 2025.",Signed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,1,3,15.0,41.0,-30.0
AB 56,Assembly,"Chaptered by Secretary of State - Chapter 671, Statutes of 2025.",Signed,AB 56 Bauer-Kahan Assembly Third Reading,Assembly,2025-05-29T18:32:11+00:00,pass,1/2,50,0,29,79.0,41.0,9.0
AB 56,Assembly,"Chaptered by Secretary of State - Chapter 671, Statutes of 2025.",Signed,"Do pass as amended, but first amend, and re-refer to the Committee on [Health]",Senate,2025-07-01T07:00:00+00:00,pass,1/2,12,0,1,13.0,21.0,-9.0
AB 56,Assembly,"Chaptered by Secretary of State - Chapter 671, Statutes of 2025.",Signed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-16T07:00:00+00:00,pass,1/2,10,0,1,11.0,21.0,-11.0
AB 56,Assembly,"Chaptered by Secretary of State - Chapter 671, Statutes of 2025.",Signed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 56,Assembly,"Chaptered by Secretary of State - Chapter 671, Statutes of 2025.",Signed,Do pass as amended,Senate,2025-08-29T07:00:00+00:00,pass,1/2,5,2,0,7.0,21.0,-16.0
AB 56,Assembly,"Chaptered by Secretary of State - Chapter 671, Statutes of 2025.",Signed,3rd Reading AB56 Bauer-Kahan et al. By Weber Pierson,Senate,2025-09-11T07:00:00+00:00,pass,1/2,30,5,5,40.0,21.0,9.0
AB 56,Assembly,"Chaptered by Secretary of State - Chapter 671, Statutes of 2025.",Signed,AB 56 Bauer-Kahan Concurrence in Senate Amendments,Assembly,2025-09-12T22:13:00+00:00,pass,1/2,59,7,14,80.0,41.0,18.0
AB 566,Assembly,"Chaptered by Secretary of State - Chapter 465, Statutes of 2025.",Signed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-01T07:00:00+00:00,pass,1/2,9,0,6,15.0,41.0,-32.0
AB 566,Assembly,"Chaptered by Secretary of State - Chapter 465, Statutes of 2025.",Signed,Do pass.,Assembly,2025-04-23T07:00:00+00:00,pass,1/2,11,0,4,15.0,41.0,-30.0
AB 566,Assembly,"Chaptered by Secretary of State - Chapter 465, Statutes of 2025.",Signed,AB 566 Lowenthal Assembly Third Reading,Assembly,2025-06-06T00:21:58+00:00,pass,1/2,53,1,25,79.0,41.0,12.0
AB 566,Assembly,"Chaptered by Secretary of State - Chapter 465, Statutes of 2025.",Signed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-01T07:00:00+00:00,pass,1/2,11,0,2,13.0,21.0,-10.0
AB 566,Assembly,"Chaptered by Secretary of State - Chapter 465, Statutes of 2025.",Signed,3rd Reading AB566 Lowenthal et al. By Stern,Senate,2025-09-10T07:00:00+00:00,pass,1/2,31,7,2,40.0,21.0,10.0
AB 566,Assembly,"Chaptered by Secretary of State - Chapter 465, Statutes of 2025.",Signed,AB 566 Lowenthal Concurrence in Senate Amendments,Assembly,2025-09-11T19:10:15+00:00,pass,1/2,57,3,20,80.0,41.0,16.0
AB 621,Assembly,"Chaptered by Secretary of State - Chapter 673, Statutes of 2025.",Signed,Do pass as amended and be re-referred to the Committee on [Judiciary],Assembly,2025-03-18T07:00:00+00:00,pass,1/2,15,0,0,15.0,41.0,-26.0
AB 621,Assembly,"Chaptered by Secretary of State - Chapter 673, Statutes of 2025.",Signed,"Do pass as amended, and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",Assembly,2025-04-08T07:00:00+00:00,pass,1/2,12,0,0,12.0,41.0,-29.0
AB 621,Assembly,"Chaptered by Secretary of State - Chapter 673, Statutes of 2025.",Signed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,14,0,1,15.0,41.0,-27.0
AB 621,Assembly,"Chaptered by Secretary of State - Chapter 673, Statutes of 2025.",Signed,AB 621 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-02T22:01:23+00:00,pass,1/2,78,0,1,79.0,41.0,37.0
AB 621,Assembly,"Chaptered by Secretary of State - Chapter 673, Statutes of 2025.",Signed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,13,0,0,13.0,21.0,-8.0
AB 621,Assembly,"Chaptered by Secretary of State - Chapter 673, Statutes of 2025.",Signed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 621,Assembly,"Chaptered by Secretary of State - Chapter 673, Statutes of 2025.",Signed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 621,Assembly,"Chaptered by Secretary of State - Chapter 673, Statutes of 2025.",Signed,3rd Reading AB621 Bauer-Kahan et al. By Ashby,Senate,2025-09-09T07:00:00+00:00,pass,1/2,40,0,0,40.0,21.0,19.0
AB 621,Assembly,"Chaptered by Secretary of State - Chapter 673, Statutes of 2025.",Signed,AB 621 Bauer-Kahan Concurrence in Senate Amendments,Assembly,2025-09-11T02:37:47+00:00,pass,1/2,79,0,1,80.0,41.0,38.0
AB 682,Assembly,Vetoed by Governor.,Vetoed,Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar,Assembly,2025-04-29T07:00:00+00:00,pass,1/2,16,0,0,16.0,41.0,-25.0
AB 682,Assembly,Vetoed by Governor.,Vetoed,Do pass. To Consent Calendar.,Assembly,2025-05-21T07:00:00+00:00,pass,1/2,15,0,0,15.0,41.0,-26.0
AB 682,Assembly,Vetoed by Governor.,Vetoed,AB 682 Ortega Consent Calendar Second Day,Assembly,2025-05-27T22:34:36+00:00,pass,1/2,76,0,3,79.0,41.0,35.0
AB 682,Assembly,Vetoed by Governor.,Vetoed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-16T07:00:00+00:00,pass,1/2,9,0,2,11.0,21.0,-12.0
AB 682,Assembly,Vetoed by Governor.,Vetoed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 682,Assembly,Vetoed by Governor.,Vetoed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,6,0,1,7.0,21.0,-15.0
AB 682,Assembly,Vetoed by Governor.,Vetoed,3rd Reading AB682 Ortega et al. By Cortese,Senate,2025-09-09T07:00:00+00:00,pass,1/2,31,3,6,40.0,21.0,10.0
AB 682,Assembly,Vetoed by Governor.,Vetoed,AB 682 Ortega Concurrence in Senate Amendments,Assembly,2025-09-11T02:38:24+00:00,pass,1/2,66,3,11,80.0,41.0,25.0
AB 723,Assembly,Approved by the Governor.,Signed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-01T07:00:00+00:00,pass,1/2,14,0,1,15.0,41.0,-27.0
AB 723,Assembly,Approved by the Governor.,Signed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,13,0,2,15.0,41.0,-28.0
AB 723,Assembly,Approved by the Governor.,Signed,AB 723 Pellerin Assembly Third Reading,Assembly,2025-06-03T18:34:55+00:00,pass,1/2,66,2,11,79.0,41.0,25.0
AB 723,Assembly,Approved by the Governor.,Signed,"Do pass, but first be re-referred to the Committee on [Judiciary]",Senate,2025-07-07T07:00:00+00:00,pass,1/2,8,3,0,11.0,21.0,-13.0
AB 723,Assembly,Approved by the Governor.,Signed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,11,2,0,13.0,21.0,-10.0
AB 723,Assembly,Approved by the Governor.,Signed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 723,Assembly,Approved by the Governor.,Signed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,5,2,0,7.0,21.0,-16.0
AB 723,Assembly,Approved by the Governor.,Signed,3rd Reading AB723 Pellerin By Wahab,Senate,2025-09-09T07:00:00+00:00,pass,1/2,29,10,1,40.0,21.0,8.0
AB 723,Assembly,Approved by the Governor.,Signed,AB 723 Pellerin Concurrence in Senate Amendments,Assembly,2025-09-11T02:39:08+00:00,pass,1/2,64,2,14,80.0,41.0,23.0
AB 853,Assembly,"Chaptered by Secretary of State - Chapter 674, Statutes of 2025.",Signed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,11,1,3,15.0,41.0,-30.0
AB 853,Assembly,"Chaptered by Secretary of State - Chapter 674, Statutes of 2025.",Signed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,1/2,9,0,3,12.0,41.0,-32.0
AB 853,Assembly,"Chaptered by Secretary of State - Chapter 674, Statutes of 2025.",Signed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,0,4,15.0,41.0,-30.0
AB 853,Assembly,"Chaptered by Secretary of State - Chapter 674, Statutes of 2025.",Signed,AB 853 Wicks Assembly Third Reading,Assembly,2025-06-03T01:13:22+00:00,pass,1/2,58,2,19,79.0,41.0,17.0
AB 853,Assembly,"Chaptered by Secretary of State - Chapter 674, Statutes of 2025.",Signed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,11,0,2,13.0,21.0,-10.0
AB 853,Assembly,"Chaptered by Secretary of State - Chapter 674, Statutes of 2025.",Signed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 853,Assembly,"Chaptered by Secretary of State - Chapter 674, Statutes of 2025.",Signed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,5,2,0,7.0,21.0,-16.0
AB 853,Assembly,"Chaptered by Secretary of State - Chapter 674, Statutes of 2025.",Signed,3rd Reading AB853 Wicks et al. By Becker,Senate,2025-09-11T07:00:00+00:00,pass,1/2,30,6,4,40.0,21.0,9.0
AB 853,Assembly,"Chaptered by Secretary of State - Chapter 674, Statutes of 2025.",Signed,AB 853 Wicks Concurrence in Senate Amendments,Assembly,2025-09-12T22:37:35+00:00,pass,1/2,60,4,16,80.0,41.0,19.0
AB 887,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-03-26T07:00:00+00:00,pass,1/2,9,0,0,9.0,41.0,-32.0
